X,Y,osm_id,amenity,name,addr:housenumber,brand,operator,addr:housename,ref,ele,shop,sport,cuisine,addr:city,addr:postcode,addr:state,phone,opening_hours,contact:yelp,addr:street,website,brand:wikidata,addr:unit,addr:country,outdoor_seating,takeaway,capacity,smoking,microbrewery,organic,wheelchair,internet_access:fee,drive_in,internet_access,name_1,email,toilets:wheelchair,delivery,name:en,payment:bitcoin,description,contact:phone,wheelchair:description,contact:facebook,contact:website,level,drive_through,wifi,payment:mastercard,start_date,facebook,payment:visa,addr:full,addr:building,fax,amenity2,OWNER,owner2,wikidata,addr:suite,short_name,old_name:ja,alt_name,old_name,old_website,payment:discover_card,payment:american_express,breakfast,payment:coins,payment:debit_cards,payment:notes,payment:cash,contact:instagram,contact:twitter,website_1,delivery:partner,payment:android_pay,payment:apple_pay,payment:samsung_pay,suite,is_in,contact:google_plus,payment:visa_debit,name:kr,payment:credit_cards,far_accessible,contact:youtube,twitter,reservation,payment:giftcards,name:zh,long_name,pricerange,name:ja,craft,diet:vegetarian
-84.9381703,32.484325,2677442359,restaurant,Sushiko,,,,,,,,,japanese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-84.9311103,32.4906903,1689046596,restaurant,El Carrizo,,,,,,,,,mexican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-84.9392508,32.505942,1689056818,restaurant,Applebee’s Neighborhood Grill & Bar,,Applebee’s,,,,,,,american,,,GA,,,,,,Q621532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-84.9710271,32.5311045,1582026798,restaurant,Cracker Barrel,,,,,,,,,american,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-84.9687419,32.5315568,1582026794,restaurant,O'Charlie's,,,,,,,,,american,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-84.9574993,32.5207768,2658609113,restaurant,Fuddruckers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-84.9609523,32.526046,2118712289,restaurant,The Sports Page,,,,,,,,,american,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-84.9571989,32.5203109,2658607727,restaurant,Applebee’s Neighborhood Grill & Bar,,Applebee’s,,,,,,,american,,,GA,,,,,,Q621532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-84.956679,32.5212039,2805262887,restaurant,Country Road Buffet,2509,,,,,,,,,,,,(706) 653-5400,Monday - Saturday 11am - 9pm (Closed Sunday),,Airport Thruway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-84.9571882,32.5222785,2658605927,restaurant,Outback Steakhouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-84.964294,32.5314963,2657870077,restaurant,Chef Lee's Peking II,6100,,,,,,,,chinese,Columbus,31904,,,11:00-22:00,,Bradley Park Drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-84.9740791,32.5556379,5177013677,restaurant,Marco's Pizza,1290,,,,,,,,pizza,Columbus,31904,GA,,"Mo-Sa 11:00-23:00, Su 15:00-21:00",,Double Churches Road,,,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-84.9738981,32.5556372,5177013680,restaurant,China Wok,1290,,,,,,,,,Columbus,31904,GA,,,,Double Churches Road,,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-84.9531174,32.5454337,2841947133,restaurant,Bonefish Grill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-84.9442445,32.5566089,2675923936,restaurant,Bombay,,,,,,,,,indian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-84.9665437,32.5685631,5078054098,restaurant,Ready Steak Go,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-84.8888267,32.5206963,1695484244,restaurant,Panda Garden,,,,,,,,,chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-84.8874697,32.5249871,1686317034,restaurant,Don Chuchos,,,,,,,,,mexican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-84.8694528,32.5365403,1686202964,restaurant,Waffle House,,,,,,,,,american,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-84.8706008,32.5367891,1686238275,restaurant,Papa Johns Pizza,,,,,,,,,pizza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-84.8703809,32.5369021,1686238274,restaurant,Mongolian BBQ,,,,,,,,,asian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-84.8540901,32.8651311,4077106740,restaurant,Eatz On The Corner,100,,,,,,,,burger,Pine Mountain,31811,GA,(706) 489-3244,,,Commerce Street,,,,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-85.029098,32.9861866,894539591,restaurant,Waffle House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-85.0287055,32.9989679,894539598,restaurant,Cart Barn Grille,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-85.0308406,33.0376353,4629766828,restaurant,Brick House Bar & Grill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-85.0331473,33.0389665,4629766827,restaurant,Country's BBQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-84.9816849,33.0416536,4629766841,restaurant,Zaxby's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-84.6184267,32.8536006,4247107665,restaurant,McDonald's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-85.1054912,33.2798674,4203504389,restaurant,Hardee's,,,,,,,,,burger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-85.1025891,33.2790198,4203501489,restaurant,Subway,,,,,,,,,sandwich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-85.1074466,33.2846053,4203524690,restaurant,Wing's Cafe,,,,,,,,,chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-85.1068645,33.2847196,4203524689,restaurant,Buddy's,,,,,,,,,regional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-85.0931154,33.5716127,2294790047,restaurant,Cancun Mexican Taqueria,1302,,,,,,,,mexican,,30117,,,,,Maple Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-85.0919423,33.5716632,2884093514,restaurant,The Border,,,,,,,,,mexican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-85.0923674,33.5725589,3520760099,restaurant,Jimmy Johns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-85.0903074,33.5727793,4829395977,restaurant,Krystal,1109,,,,,,,,burger,Carrollton,30117,GA,,,,Maple St,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-85.0878323,33.5734208,4829406652,restaurant,Hong Kong Chinese,1001,,,,,,,,Chinese,Carrollton,30117,GA,,,,Maple Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-85.0873588,33.573741,4829404383,restaurant,American Pie Pizzeria,927,,,,,,,,Pizza,Carrollton,30117,GA,,,,Maple Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-85.1620855,33.7063438,3517981594,restaurant,Chop Stix (Chinese Restaurant),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-85.1622145,33.7064154,3517981593,restaurant,Juanito's (Mexican Restaurant),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-84.8717172,33.1602008,894666794,restaurant,Waffle House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-84.8160536,33.385006,3518391377,restaurant,Waffle House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-84.7782582,33.3260553,4085179913,restaurant,Huddle House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-84.7626565,33.3920259,4085179582,restaurant,Olive Garden,212,,,,,,,,american,Newnan,30263,,+1 770 253 9470,,,Newnan Crossing Bypass,http://www.olivegarden.com/locations/ga/newnan/newnan-ashley-park-shopping-centre/1658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-84.7622672,33.392871,4085179583,restaurant,Red Robin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-84.7597048,33.3951877,4085179574,restaurant,Cracker Barrel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-84.7589899,33.3955895,4085179573,restaurant,O'Charleys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-84.7581617,33.3958082,4085179572,restaurant,Golden Corral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-84.7569999,33.3973391,894666898,restaurant,IHOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-84.7451057,33.3960546,894666872,restaurant,Applebee’s Neighborhood Grill & Bar,,Applebee’s,,,,,,,american,,,GA,,,,,,Q621532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-84.7444882,33.3961443,4085179570,restaurant,Hooters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-84.7455606,33.3975005,4085179568,restaurant,Red Lobster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-84.7442723,33.397405,894666874,restaurant,Waffle House,,,,,,,,,,,,,,24/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-84.7426018,33.3977309,4085179567,restaurant,Longhorn Steakhouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-84.7416533,33.3978314,4085179566,restaurant,Ruby Tuesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-84.3757592,33.180489,5244824636,restaurant,Barnstormer's Grill,,,,,,,,,"burger;sandwich;chicken;seafood;steak_house;american",,,,,,,,,,,,yes,no,25-50,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-84.5543849,33.3005211,5846645946,restaurant,Nic & Norman's,20,,,,,,,,burger,Senoia,30276,GA,,,,Main Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-84.5535909,33.3012556,5846645948,restaurant,Matt's Smalltown Pizza,53,,,,,,,,pizza,Senoia,30276,GA,,,,Main Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-84.5998829,33.397201,2616637283,restaurant,Jersey Mike's Subs,2729,,,,,,,,sandwich,,30269,,,,,GA-54 W,,,,,yes,yes,,no,no,no,yes,no,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-84.5904945,33.3954591,1300121276,restaurant,Atlanta Bread Company,,,,,,,,,sandwich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-84.5900127,33.3982966,4453626805,restaurant,Ranchero Bar & Grill,380,,,,,,,,mexican,Peachtree City,30269,GA,,,,Commerce Drive,,,,,,yes,,outside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-85.0742764,33.5559059,2517038269,restaurant,Olive Garden,,,,,,,,,italian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-84.9219131,33.531621,2565850316,restaurant,Historic Banning Mills,205,,,,,,,,regional,Banning,30185,,770-834-9149,,,Horseshoe Dam Road,http://www.historicbanningmills.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-85.0751042,33.5813335,2517029888,restaurant,Little Hawaiian,,,,,,,,,seafood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-85.0379206,33.5948365,4208132184,restaurant,Longhorn Steakhouse,1155,,,,,,,,steak_house,Carrollton,30117,GA,,,,Bankhead Highway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-84.9379148,33.7287017,3975319965,restaurant,Trading Post Cafe,664 W,,,,,,,,,Villa Rica,30180,GA,770-456-4221,Sun: 8:00AM-3:00PM Mon: CLOSED Tue to Thu: 7:00AM-9:00PM Fri & Sat: 7:00AM-10:00PM,,Bankhead Hwy #2B,http://tradingpostcafe.net,,,,,,,,,,,,,,Roberta Kennedy,tradingpostcafe@att.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-84.7661704,33.7170579,4314548756,restaurant,Cinco de Mayo,,,,,,,,,mexican,Douglasville,,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-84.7636633,33.720177,3529206859,restaurant,Red Lobster,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-84.7660193,33.7244139,3532060492,restaurant,IHOP,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-84.7643652,33.7267206,3532092792,restaurant,Chinese Pagoda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-84.7617524,33.725655,2884657201,restaurant,Waffle House,,,,,,,,,breakfast,,,,,24/7,,,,,,,,,,no,,,yes,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-84.7362899,33.725597,3877279561,restaurant,Johnny's Pizza,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-84.7363949,33.725776,3877308360,restaurant,Taste of Thai,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-84.7500074,33.728938,3529212019,restaurant,Olive Garden,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-84.7543289,33.7485756,5904558299,restaurant,Hudson's Hickory House,12515,,,,,,,,bbq,Douglasville,30134,Ga,,,,Veterans Memorial Hwy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-84.7386077,33.7308344,3023415640,restaurant,Outback,,,,,,,,,steak_house,,,,,,,,,,,,,,,,,,yes,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-84.6966783,33.4466543,894666920,restaurant,Waffle House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-84.6001646,33.4068817,4502906718,restaurant,WOK EXPRESS,275,,,,,,,,chinese,Peachtree City,30269,GA,,10:30-22:00,,Joel Cowan Parkway,,,,,,yes,20,no,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
